brand,product_name,clothing_type,fabric_composition,fiber_json,most_dominant_fiber,fs_bio_share,fs_biodeg_tier,source,country_of_brand,scraped_url,scraped_at,origin
Memo,Waffle T-Shirt,t-shirt,Highlights Fit: Regular Design Details: Waffle Texture Fabric: Textured Knit (Waffle) Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 6'0 Chest: 37 Waist: 32 Hips: 35 ,"{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.memofashion.com/products/waffle-t-shirt-997104-black,2026-06-26T04:51:39.945543,api
Memo,Waffle Polo,polo,Highlights Fit: Slim Design Detail: Waffle Texture Fabric: Textured Knit (Waffle) Material Composition: 84% Nylon 16% Spandex Model's Body Measurements Height: 6'1 Chest: 37 Waist: 30 Hips: 37 Model w,"{""nylon"": 84.0, ""elastane"": 16.0}",nylon,0.0,low,philippine,PH,https://www.memofashion.com/products/waffle-polo-992994-khaki,2026-06-26T04:51:40.139355,api
Memo,Ottoman Knit T-Shirt,t-shirt,Highlights Fit: Regular Design Details: Ottoman Knit Texture Fabric: Flat Knit Material Composition: 85% Viscose 15% Polyester Model's Body Measurements Height: 6'0 Chest: 37 Waist: 30 Hips: 34 Model ,"{""viscose"": 85.0, ""polyester"": 15.0}",viscose,85.0,high,philippine,PH,https://www.memofashion.com/products/ottoman-knit-t-shirt-995070-off-white,2026-06-26T04:51:39.948195,api
Memo,Textured Knit Stripe T-Shirt,t-shirt,Highlights Fit: Regular fit Design Details: Stripes Fabric: Textured Knit Material Composition: 60% Cotton 40% Polyester Model's Body Measurements Height: 6'0 Chest: 37 Waist: 32 Hips: 35 Model wears ,"{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://www.memofashion.com/products/textured-knit-stripe-t-shirt-994486-blue,2026-06-26T04:51:39.949457,api
Memo,A-Line V-Neck Dress,dress,"Highlights Fit: Regular Design Details: A-line Dress, Stripe fabric, V-neck line, Extended Sleeve, Sleeve gusset Fabric: Plain Weave Material Composition: 65% Cotton 35% Polyester Model's Body Measure","{""cotton"": 65.0, ""polyester"": 35.0}",cotton,65.0,medium,philippine,PH,https://www.memofashion.com/products/a-line-v-neck-dress-995230-sand,2026-06-26T04:51:39.950525,api
Memo,Ottoman Knit Textured Polo,polo,Highlights Fit: Regular Design Details: Ottoman Knit Texture Fabric: Flat Knit Material Composition: 100% Polyester Model's Body Measurements Height: 6'0 Chest: 37 Waist: 30 Hips: 34 Model wears Large,"{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://www.memofashion.com/products/ottoman-knit-textured-polo-995255,2026-06-26T04:51:39.954142,api
Memo,Contrast Stripe Textured T-Shirt,t-shirt,"Highlights Fit: Regular Design Details: Contrast Stripe, Rib Texture Fabric: Flat Knit Material Composition: 85% Viscose 15% Polyester Model's Body Measurements Height: 6'0 Chest: 37 Waist: 32 Hips: 3","{""viscose"": 85.0, ""polyester"": 15.0}",viscose,85.0,high,philippine,PH,https://www.memofashion.com/products/contrast-stripe-textured-t-shirt-995078,2026-06-26T04:51:39.955334,api
Memo,Jacquard Collar Polo,polo,Highlights Fit: Regular Design Details: Jacquard Collar and Cuffs Fabric: Knitted Pique Material Composition: 85% Polyester 15% Cotton Model's Body Measurements Height: 6'0 Chest: 37 Waist: 32 Hips: 3,"{""polyester"": 85.0, ""cotton"": 15.0}",polyester,15.0,low,philippine,PH,https://www.memofashion.com/products/jacquard-collar-polo-995242,2026-06-26T04:51:39.956516,api
Memo,Straight Fit Knit Trousers,knitwear,Highlights Fit: Straight Fit Design Detail: Drawstring closure Fabric: Interlock Material Composition: 70% Polyester 30% Cotton Waist Height: Mid Waist Model's Body Measurements Height: 6'0 Chest: 37 ,"{""polyester"": 70.0, ""cotton"": 30.0}",polyester,30.0,low,philippine,PH,https://www.memofashion.com/products/straight-fit-knit-trousers-996167,2026-06-26T04:51:39.959942,api
Memo,Zip Up Hoodie,hoodie,"Highlights Fit: Relaxed Design Detail: Full Zip, Hoodie Fabric: Interlock Material Composition: 70% Polyester 30% Cotton Model's Body Measurements Height: 6'0 Chest: 37 Waist: 30 Hips: 34 Model wears ","{""polyester"": 70.0, ""cotton"": 30.0}",polyester,30.0,low,philippine,PH,https://www.memofashion.com/products/zip-up-hoodie-996165-black,2026-06-26T04:51:39.961909,api
Memo,Textured Polo,polo,Highlights Fit: Regular Design Details: Memo Side Clip Label Fabric: Textured Knit Material Composition: 70% Cotton 30% Polyester Model's Body Measurements Height: 6'1 Chest: 37 Waist: 30 Hips: 37 Mod,"{""cotton"": 70.0, ""polyester"": 30.0}",cotton,70.0,medium,philippine,PH,https://www.memofashion.com/products/textured-polo-991647,2026-06-26T04:51:40.095068,api
